epoch, training loss, rmse loss, validation loss
409,32.295,32.295,0.000
410,32.268,32.268,0.000
411,32.331,32.331,0.000
412,32.236,32.236,0.000
413,32.238,32.238,0.000
414,32.339,32.339,0.000
415,32.253,32.253,0.000
416,32.352,32.352,0.000
417,32.199,32.199,0.000
418,32.287,32.287,0.000
419,32.282,32.282,0.000
420,32.289,32.289,0.000
421,32.272,32.272,0.000
422,32.098,32.098,0.000
423,32.383,32.383,0.000
424,32.181,32.181,0.000
425,32.316,32.316,0.000
426,32.229,32.229,0.000
427,32.282,32.282,0.000
428,32.205,32.205,0.000
429,32.283,32.283,0.000
430,32.245,32.245,0.000
431,32.252,32.252,0.000
432,32.215,32.215,0.000
433,32.272,32.272,0.000
434,32.188,32.188,0.000
435,32.224,32.224,0.000
436,32.191,32.191,0.000
437,32.233,32.233,0.000
438,32.228,32.228,0.000
439,32.263,32.263,0.000
440,32.224,32.224,0.000
441,32.142,32.142,0.000
442,32.253,32.253,0.000
443,32.271,32.271,0.000
444,32.271,32.271,0.000
445,32.274,32.274,0.000
446,32.184,32.184,0.000
447,32.256,32.256,0.000
448,32.209,32.209,0.000
449,32.204,32.204,0.000
450,32.276,32.276,0.000
451,32.232,32.232,0.000
452,32.104,32.104,0.000
453,32.205,32.205,0.000
454,32.344,32.344,0.000
455,32.183,32.183,0.000
456,32.277,32.277,0.000
457,32.289,32.289,0.000
458,32.273,32.273,0.000
459,32.260,32.260,0.000
460,32.135,32.135,0.000
461,32.223,32.223,0.000
462,32.140,32.140,0.000
463,32.151,32.151,0.000
464,32.193,32.193,0.000
465,32.226,32.226,0.000
466,32.270,32.270,0.000
467,32.148,32.148,0.000
468,32.134,32.134,0.000
469,32.176,32.176,0.000
470,32.234,32.234,0.000
471,32.273,32.273,0.000
472,32.302,32.302,0.000
473,32.215,32.215,0.000
474,32.061,32.061,0.000
475,32.237,32.237,0.000
476,32.051,32.051,0.000
477,32.160,32.160,0.000
478,32.086,32.086,0.000
479,32.230,32.230,0.000
480,32.222,32.222,0.000
481,32.127,32.127,0.000
482,32.321,32.321,0.000
483,32.162,32.162,0.000
484,32.233,32.233,0.000
485,32.237,32.237,0.000
486,32.280,32.280,0.000
487,32.093,32.093,0.000
488,32.249,32.249,0.000
489,32.311,32.311,0.000
490,32.222,32.222,0.000
491,32.149,32.149,0.000
492,32.158,32.158,0.000
493,32.259,32.259,0.000
494,32.124,32.124,0.000
